year,scen,ens,rcp,usd_rub,ship_type,dir,value
2015,Pol,ens2,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens2,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens2,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens2,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens2,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens2,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens2,2p6,low,1A,West,4.676014995544403
2015,Pol,ens2,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens2,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens3,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens3,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens3,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens3,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens3,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens3,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens3,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens3,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens3,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens3,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens3,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens3,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens3,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens3,2p6,low,1A,West,4.676014995544403
2015,Pol,ens3,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens3,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens4,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens4,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens4,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens4,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens4,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens4,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens4,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens4,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens4,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens4,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens4,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens4,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens4,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens4,2p6,low,1A,West,4.676014995544403
2015,Pol,ens4,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens4,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens5,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens5,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens5,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens5,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens5,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens5,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens5,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens5,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens5,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens5,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens5,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens5,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens5,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens5,2p6,low,1A,West,4.676014995544403
2015,Pol,ens5,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens5,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens6,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens6,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens6,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens6,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens6,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens6,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens6,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens6,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens6,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens6,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens6,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens6,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens6,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens6,2p6,low,1A,West,4.676014995544403
2015,Pol,ens6,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens6,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens7,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens7,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens7,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens7,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens7,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens7,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens7,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens7,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens7,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens7,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens7,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens7,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens7,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens7,2p6,low,1A,West,4.676014995544403
2015,Pol,ens7,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens7,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens8,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens8,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens8,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens8,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens8,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens8,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens8,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens8,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens8,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens8,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens8,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens8,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens8,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens8,2p6,low,1A,West,4.676014995544403
2015,Pol,ens8,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens8,2p6,low,1AS,West,4.580202973594147
2015,Pol,ens9,2p6,base,1A,East,1.2146091883667478
2015,Pol,ens9,2p6,base,1A,West,4.6542060915352135
2015,Pol,ens9,2p6,base,1AS,East,1.3040550697176851
2015,Pol,ens9,2p6,base,1AS,West,4.564760210184276
2015,Pol,ens9,2p6,discounted,1A,East,1.2168836074812845
2015,Pol,ens9,2p6,discounted,1A,West,4.651931672420677
2015,Pol,ens9,2p6,discounted,1AS,East,1.300584246145614
2015,Pol,ens9,2p6,discounted,1AS,West,4.568231033756347
2015,Pol,ens9,2p6,high,1A,East,1.2175011695163378
2015,Pol,ens9,2p6,high,1A,West,4.6513141103856235
2015,Pol,ens9,2p6,high,1AS,East,1.306090284267548
2015,Pol,ens9,2p6,high,1AS,West,4.562724995634413
2015,Pol,ens9,2p6,low,1A,East,1.1928002843575587
2015,Pol,ens9,2p6,low,1A,West,4.676014995544403
2015,Pol,ens9,2p6,low,1AS,East,1.2886123063078143
2015,Pol,ens9,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens1,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens1,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens1,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens1,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens1,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens1,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens1,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens1,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens1,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens1,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens1,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens1,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens1,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens1,2p6,low,1A,West,4.676014995544403
2015,Ref,ens1,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens1,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens1,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens1,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens1,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens1,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens1,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens1,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens1,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens1,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens1,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens1,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens1,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens1,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens1,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens1,8p5,low,1A,West,4.676014995544403
2015,Ref,ens1,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens1,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens10,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens10,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens10,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens10,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens10,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens10,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens10,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens10,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens10,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens10,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens10,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens10,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens10,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens10,2p6,low,1A,West,4.676014995544403
2015,Ref,ens10,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens10,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens10,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens10,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens10,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens10,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens10,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens10,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens10,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens10,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens10,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens10,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens10,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens10,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens10,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens10,8p5,low,1A,West,4.676014995544403
2015,Ref,ens10,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens10,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens11,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens11,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens11,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens11,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens11,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens11,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens11,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens11,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens11,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens11,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens11,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens11,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens11,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens11,2p6,low,1A,West,4.676014995544403
2015,Ref,ens11,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens11,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens11,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens11,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens11,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens11,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens11,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens11,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens11,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens11,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens11,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens11,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens11,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens11,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens11,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens11,8p5,low,1A,West,4.676014995544403
2015,Ref,ens11,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens11,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens12,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens12,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens12,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens12,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens12,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens12,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens12,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens12,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens12,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens12,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens12,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens12,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens12,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens12,2p6,low,1A,West,4.676014995544403
2015,Ref,ens12,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens12,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens12,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens12,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens12,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens12,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens12,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens12,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens12,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens12,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens12,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens12,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens12,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens12,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens12,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens12,8p5,low,1A,West,4.676014995544403
2015,Ref,ens12,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens12,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens13,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens13,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens13,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens13,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens13,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens13,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens13,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens13,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens13,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens13,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens13,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens13,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens13,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens13,2p6,low,1A,West,4.676014995544403
2015,Ref,ens13,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens13,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens13,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens13,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens13,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens13,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens13,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens13,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens13,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens13,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens13,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens13,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens13,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens13,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens13,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens13,8p5,low,1A,West,4.676014995544403
2015,Ref,ens13,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens13,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens2,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens2,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens2,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens2,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens2,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens2,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens2,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens2,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens2,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens2,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens2,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens2,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens2,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens2,2p6,low,1A,West,4.676014995544403
2015,Ref,ens2,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens2,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens2,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens2,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens2,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens2,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens2,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens2,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens2,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens2,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens2,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens2,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens2,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens2,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens2,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens2,8p5,low,1A,West,4.676014995544403
2015,Ref,ens2,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens2,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens3,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens3,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens3,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens3,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens3,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens3,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens3,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens3,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens3,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens3,2p6,high,1A,West,4.6513141103856235
2015,Ref,ens3,2p6,high,1AS,East,1.306090284267548
2015,Ref,ens3,2p6,high,1AS,West,4.562724995634413
2015,Ref,ens3,2p6,low,1A,East,1.1928002843575587
2015,Ref,ens3,2p6,low,1A,West,4.676014995544403
2015,Ref,ens3,2p6,low,1AS,East,1.2886123063078143
2015,Ref,ens3,2p6,low,1AS,West,4.580202973594147
2015,Ref,ens3,8p5,base,1A,East,1.2146091883667478
2015,Ref,ens3,8p5,base,1A,West,4.6542060915352135
2015,Ref,ens3,8p5,base,1AS,East,1.3040550697176851
2015,Ref,ens3,8p5,base,1AS,West,4.564760210184276
2015,Ref,ens3,8p5,discounted,1A,East,1.2168836074812845
2015,Ref,ens3,8p5,discounted,1A,West,4.651931672420677
2015,Ref,ens3,8p5,discounted,1AS,East,1.300584246145614
2015,Ref,ens3,8p5,discounted,1AS,West,4.568231033756347
2015,Ref,ens3,8p5,high,1A,East,1.2175011695163378
2015,Ref,ens3,8p5,high,1A,West,4.6513141103856235
2015,Ref,ens3,8p5,high,1AS,East,1.306090284267548
2015,Ref,ens3,8p5,high,1AS,West,4.562724995634413
2015,Ref,ens3,8p5,low,1A,East,1.1928002843575587
2015,Ref,ens3,8p5,low,1A,West,4.676014995544403
2015,Ref,ens3,8p5,low,1AS,East,1.2886123063078143
2015,Ref,ens3,8p5,low,1AS,West,4.580202973594147
2015,Ref,ens4,2p6,base,1A,East,1.2146091883667478
2015,Ref,ens4,2p6,base,1A,West,4.6542060915352135
2015,Ref,ens4,2p6,base,1AS,East,1.3040550697176851
2015,Ref,ens4,2p6,base,1AS,West,4.564760210184276
2015,Ref,ens4,2p6,discounted,1A,East,1.2168836074812845
2015,Ref,ens4,2p6,discounted,1A,West,4.651931672420677
2015,Ref,ens4,2p6,discounted,1AS,East,1.300584246145614
2015,Ref,ens4,2p6,discounted,1AS,West,4.568231033756347
2015,Ref,ens4,2p6,high,1A,East,1.2175011695163378
2015,Ref,ens4,2p6,high,1A,West,4.6513141103856235
